ALogP,nHBAcc,LipinskiFailures,Label
1.3717999999999997,1.0,0.0,0
-2.5433000000000017,1.0,1.0,0
3.0466,2.0,0.0,0
0.6562999999999986,1.0,0.0,0
0.9549999999999984,1.0,0.0,0
-0.5276,2.0,1.0,0
0.5911999999999998,2.0,0.0,0
-4.034100000000001,0.0,2.0,0
-0.2382000000000018,12.0,2.0,0
0.5336000000000005,2.0,0.0,0
-2.6742000000000004,6.0,2.0,0
1.6184999999999998,0.0,0.0,0
-0.3940000000000001,10.0,1.0,0
0.9552000000000002,3.0,0.0,0
3.2870000000000004,2.0,1.0,0
5.2586,0.0,1.0,0
-2.0645000000000016,0.0,0.0,0
1.1812,0.0,1.0,0
0.3068999999999999,0.0,1.0,0
1.009,4.0,0.0,0
0.1058999999999996,3.0,0.0,0
0.4900000000000012,2.0,0.0,0
-3.3010000000000024,0.0,2.0,0
-0.5579000000000003,3.0,0.0,0
1.1764999999999994,3.0,0.0,0
8.888,0.0,1.0,0
-1.1253999999999995,0.0,0.0,0
1.0398999999999998,1.0,0.0,0
2.443,4.0,0.0,0
-1.0602000000000025,1.0,0.0,0
-2.2416000000000027,2.0,0.0,0
-1.9242000000000008,1.0,1.0,0
-3.883800000000002,3.0,2.0,0
-2.5803,23.0,3.0,0
-1.0030999999999997,3.0,0.0,0
-4.363999999999999,1.0,2.0,0
1.9324,2.0,1.0,0
-1.0941999999999998,8.0,0.0,0
0.0,0.0,1.0,0
-0.5152000000000004,3.0,0.0,0
0.5755000000000015,3.0,0.0,0
1.0326,4.0,0.0,0
3.3816,1.0,0.0,0
-0.2319,4.0,0.0,0
-0.9399000000000002,10.0,0.0,0
2.0182,3.0,0.0,0
0.1203999999999997,3.0,0.0,0
0.4084,1.0,0.0,0
-4.993200000000002,7.0,2.0,0
1.2515000000000005,3.0,0.0,0
-0.0702,5.0,0.0,0
1.783500000000002,7.0,0.0,0
0.5587999999999999,4.0,1.0,0
0.6661999999999995,4.0,1.0,0
1.6693000000000005,2.0,1.0,0
2.6106000000000003,2.0,0.0,0
-6.609200000000001,6.0,2.0,0
-0.5919000000000008,3.0,0.0,0
2.7596000000000003,4.0,0.0,0
1.3459,2.0,0.0,0
1.0057000000000014,6.0,0.0,0
2.220100000000001,7.0,0.0,0
0.3921000000000014,5.0,0.0,0
2.4161,0.0,0.0,0
1.229899999999999,4.0,0.0,0
0.2883,4.0,0.0,0
0.3211999999999998,3.0,0.0,0
1.6924000000000006,3.0,0.0,0
0.7794999999999986,2.0,0.0,0
-0.7881999999999998,5.0,0.0,0
1.6381999999999974,4.0,1.0,0
0.2552999999999993,4.0,0.0,0
1.0381999999999998,3.0,0.0,0
2.524,9.0,1.0,0
0.5213999999999995,5.0,0.0,0
-1.1224999999999994,7.0,0.0,0
-0.0517999999999998,4.0,0.0,0
-1.153100000000001,3.0,0.0,0
0.2693999999999994,3.0,0.0,0
3.3824,2.0,0.0,0
-1.5958,6.0,0.0,0
0.8129999999999984,5.0,0.0,0
0.4402999999999997,6.0,0.0,0
0.6396000000000008,5.0,0.0,0
1.721200000000003,2.0,0.0,0
2.2792,4.0,0.0,0
0.315699999999999,4.0,0.0,0
-0.1401999999999993,3.0,1.0,0
-2.0801,0.0,0.0,0
